route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
600633,7,6330068-633-006-5351.2.21-050200-15,"Duisdorf Bf",1,NaN,
600633,7,6330072-633-006-5351.2.21-060200-15,"Duisdorf Bf",1,NaN,
600633,7,6330120-633-006-5351.2.21-193200-15,"Duisdorf Bf",1,NaN,
600633,7,6330122-633-006-5351.2.21-200200-15,"Duisdorf Bf",1,NaN,
600633,7,6330124-633-006-5351.2.21-203200-15,"Duisdorf Bf",1,NaN,
600633,7,6330126-633-006-5351.2.21-210200-15,"Duisdorf Bf",1,NaN,
600633,2,6330128-633-006-5351.2.21-053200-15,"Duisdorf Bf",1,NaN,
600633,2,6330130-633-006-5351.2.21-063100-15,"Duisdorf Bf",1,NaN,
600633,2,6330132-633-006-5351.2.21-070100-15,"Duisdorf Bf",1,NaN,
600633,2,6330134-633-006-5351.2.21-073100-15,"Duisdorf Bf",1,NaN,
600633,2,6330136-633-006-5351.2.21-080100-15,"Duisdorf Bf",1,NaN,
600633,2,6330138-633-006-5351.2.21-083100-15,"Duisdorf Bf",1,NaN,
600633,2,6330140-633-006-5351.2.21-090100-15,"Duisdorf Bf",1,NaN,
600633,2,6330142-633-006-5351.2.21-093100-15,"Duisdorf Bf",1,NaN,
600633,2,6330144-633-006-5351.2.21-100100-15,"Duisdorf Bf",1,NaN,
600633,2,6330146-633-006-5351.2.21-103100-15,"Duisdorf Bf",1,NaN,
600633,2,6330148-633-006-5351.2.21-110100-15,"Duisdorf Bf",1,NaN,
600633,2,6330150-633-006-5351.2.21-113100-15,"Duisdorf Bf",1,NaN,
600633,2,6330152-633-006-5351.2.21-120100-15,"Duisdorf Bf",1,NaN,
600633,2,6330154-633-006-5351.2.21-123100-15,"Duisdorf Bf",1,NaN,
600633,2,6330156-633-006-5351.2.21-130100-15,"Duisdorf Bf",1,NaN,
600633,2,6330158-633-006-5351.2.21-133100-15,"Duisdorf Bf",1,NaN,
600633,2,6330160-633-006-5351.2.21-140100-15,"Duisdorf Bf",1,NaN,
600633,2,6330162-633-006-5351.2.21-143100-15,"Duisdorf Bf",1,NaN,
600633,2,6330164-633-006-5351.2.21-150100-15,"Duisdorf Bf",1,NaN,
600633,2,6330166-633-006-5351.2.21-153100-15,"Duisdorf Bf",1,NaN,
600633,2,6330168-633-006-5351.2.21-160100-15,"Duisdorf Bf",1,NaN,
600633,2,6330170-633-006-5351.2.21-163100-15,"Duisdorf Bf",1,NaN,
600633,2,6330172-633-006-5351.2.21-170100-15,"Duisdorf Bf",1,NaN,
600633,2,6330174-633-006-5351.2.21-173100-15,"Duisdorf Bf",1,NaN,
600633,2,6330176-633-006-5351.2.21-180100-15,"Duisdorf Bf",1,NaN,
600633,2,6330178-633-006-5351.2.21-183100-15,"Duisdorf Bf",1,NaN,
600633,2,6330180-633-006-5351.2.21-190100-15,"Duisdorf Bf",1,NaN,
600633,7,6330113-633-006-1341.2.21-195200-15,"Sechtem Bf",0,NaN,
600633,7,6330115-633-006-1341.2.21-202200-15,"Sechtem Bf",0,NaN,
600633,2,6330117-633-006-1341.2.21-052200-15,"Sechtem Bf",0,NaN,
600633,2,6330119-633-006-1341.2.21-055200-15,"Sechtem Bf",0,NaN,
600633,2,6330121-633-006-1341.2.21-062200-15,"Sechtem Bf",0,NaN,
600633,2,6330123-633-006-1341.2.21-065200-15,"Sechtem Bf",0,NaN,
600633,2,6330125-633-006-1341.2.21-072200-15,"Sechtem Bf",0,NaN,
600633,2,6330127-633-006-1341.2.21-075200-15,"Sechtem Bf",0,NaN,
600633,2,6330129-633-006-1341.2.21-082200-15,"Sechtem Bf",0,NaN,
600633,2,6330131-633-006-1341.2.21-085200-15,"Sechtem Bf",0,NaN,
600633,2,6330133-633-006-1341.2.21-092200-15,"Sechtem Bf",0,NaN,
600633,2,6330135-633-006-1341.2.21-095200-15,"Sechtem Bf",0,NaN,
600633,2,6330137-633-006-1341.2.21-102200-15,"Sechtem Bf",0,NaN,
600633,2,6330139-633-006-1341.2.21-105200-15,"Sechtem Bf",0,NaN,
600633,2,6330141-633-006-1341.2.21-112200-15,"Sechtem Bf",0,NaN,
600633,2,6330143-633-006-1341.2.21-115200-15,"Sechtem Bf",0,NaN,
600633,2,6330145-633-006-1341.2.21-122200-15,"Sechtem Bf",0,NaN,
600633,2,6330147-633-006-1341.2.21-125200-15,"Sechtem Bf",0,NaN,
600633,2,6330149-633-006-1341.2.21-132200-15,"Sechtem Bf",0,NaN,
600633,2,6330151-633-006-1341.2.21-135200-15,"Sechtem Bf",0,NaN,
600633,2,6330153-633-006-1341.2.21-142200-15,"Sechtem Bf",0,NaN,
600633,2,6330155-633-006-1341.2.21-145200-15,"Sechtem Bf",0,NaN,
600633,2,6330157-633-006-1341.2.21-152200-15,"Sechtem Bf",0,NaN,
600633,2,6330159-633-006-1341.2.21-155200-15,"Sechtem Bf",0,NaN,
600633,2,6330161-633-006-1341.2.21-162200-15,"Sechtem Bf",0,NaN,
600633,2,6330163-633-006-1341.2.21-165200-15,"Sechtem Bf",0,NaN,
600633,2,6330165-633-006-1341.2.21-172200-15,"Sechtem Bf",0,NaN,
